CustomerID,Country,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,January,February,March,April,May,June,July,August,September,October,November,December,Weekday,Month
17809.0,United Kingdom,0.0,13.0,3.0,0.0,11.0,0.0,0.0,1.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Tuesday,February
16098.0,United Kingdom,4.0,37.0,6.0,0.0,0.0,7.0,0.0,8.0,4.0,9.0,7.0,7.0,0.0,6.0,0.0,13.0,0.0,0.0,0.0,Tuesday,September
18074.0,United Kingdom,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tuesday,January
17420.0,United Kingdom,0.0,17.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,8.0,0.0,0.0,Tuesday,June
16250.0,United Kingdom,0.0,13.0,10.0,0.0,0.0,0.0,0.0,13.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tuesday,January
17548.0,United Kingdom,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tuesday,January
13705.0,United Kingdom,11.0,9.0,0.0,0.0,0.0,6.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,Monday,July
17924.0,United Kingdom,4.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,Thursday,March
15862.0,United Kingdom,0.0,58.0,45.0,19.0,12.0,0.0,0.0,103.0,0.0,0.0,0.0,19.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Tuesday,January
16218.0,United Kingdom,0.0,37.0,18.0,0.0,0.0,0.0,0.0,27.0,0.0,8.0,0.0,3.0,0.0,0.0,10.0,0.0,7.0,0.0,0.0,Tuesday,January
17908.0,United Kingdom,0.0,52.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tuesday,January
12838.0,United Kingdom,0.0,57.0,0.0,0.0,0.0,57.0,0.0,57.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,Saturday,January
13255.0,United Kingdom,0.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Wednesday,November
16583.0,United Kingdom,0.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tuesday,January
18085.0,United Kingdom,0.0,9.0,0.0,20.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,January
13758.0,United Kingdom,9.0,36.0,0.0,11.0,0.0,0.0,35.0,36.0,0.0,0.0,0.0,35.0,0.0,0.0,4.0,7.0,0.0,9.0,0.0,Tuesday,January
15983.0,United Kingdom,0.0,52.0,0.0,30.0,0.0,0.0,21.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,30.0,24.0,Tuesday,November
17968.0,United Kingdom,0.0,80.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tuesday,January
16210.0,United Kingdom,4.0,7.0,22.0,5.0,8.0,16.0,2.0,7.0,1.0,11.0,0.0,0.0,7.0,2.0,8.0,1.0,7.0,15.0,5.0,Wednesday,November
17897.0,United Kingdom,66.0,33.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,35.0,31.0,0.0,0.0,0.0,0.0,0.0,Monday,June
16552.0,United Kingdom,0.0,4.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,Friday,November
17951.0,United Kingdom,7.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,Monday,October
14729.0,United Kingdom,0.0,69.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tuesday,January
15012.0,United Kingdom,67.0,49.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,Monday,October
